annee,code,Qualite,NOM_REGION,Production_totale,Production_nucleaire,Production_thermique_totale,Production_hydraulique,Production_eolien,Production_solaire,Production_bioernergies,Consommation_totale,Grande_industrie_PME_PMI,Energie_industrie_agriculture,Chime_parachimie,Construction_automobile,Metallurgie_mecanique,Mineraux_materiaux,Papier_carton,Siderurgie,Autres_industries,Excedent_Deficit
2013,84,Donn̩es d̩finitives,Auvergne-Rh̫ne-Alpes,121,88,1,32,0,0,0,96,61,21,3,0,5,1,0,2,3,25
2013,27,Donn̩es d̩finitives,Bourgogne-Franche-Comt̩,2,0,1,1,0,0,0,29,20,6,1,0,1,0,0,0,1,-27
2013,53,Donn̩es d̩finitives,Bretagne,1,0,0,0,1,0,0,26,21,5,0,0,0,0,0,0,0,-25
2013,24,Donn̩es d̩finitives,Centre-Val de Loire,69,68,0,0,1,0,0,22,18,4,0,0,0,0,0,0,0,47
2013,44,Donn̩es consolid̩es,Grand-Est,101,78,11,9,3,0,0,71,43,17,2,1,2,1,2,1,2,30
2013,32,Donn̩es d̩finitives,Hauts-de-France,43,35,5,0,3,0,0,85,49,22,2,0,6,1,1,3,1,-42
2013,11,Donn̩es d̩finitives,Ile-de-France,4,0,3,0,0,0,1,82,72,8,0,0,1,0,0,0,1,-78
2013,28,Donn̩es d̩finitives,Normandie,77,72,5,0,0,0,0,41,27,10,3,0,1,0,0,0,0,36
2013,75,Donn̩es d̩finitives,Nouvelle-Aquitaine,46,41,0,4,0,0,1,55,40,10,1,0,1,1,1,0,1,-9
2013,76,Donn̩es d̩finitives,Occitanie,34,19,0,13,2,0,0,42,35,6,0,0,1,0,0,0,0,-8
2013,93,Donn̩es d̩finitives,PACA,17,0,5,12,0,0,0,54,38,10,4,0,1,0,0,1,0,-37
2013,52,Donn̩es d̩finitives,Pays-de-la-Loire,6,0,6,0,0,0,0,34,25,7,0,0,1,0,0,0,1,-28
2014,84,Donn̩es d̩finitives,Auvergne-Rh̫ne-Alpes,116,87,1,28,0,0,0,69,34,21,3,0,5,1,0,2,3,47
