annee,code,region,type,production
2013,24,Centre-Val de Loire,Production_eolien,1
2013,44,Grand-Est,Production_eolien,3
2013,32,Hauts-de-France,Production_eolien,3
2013,11,Ile-de-France,Production_eolien,0
2013,28,Normandie,Production_eolien,0
2013,75,Nouvelle-Aquitaine,Production_eolien,0
2013,76,Occitanie,Production_eolien,2
2013,93,PACA,Production_eolien,0
2013,52,Pays-de-la-Loire,Production_eolien,0
2014,84,Auvergne-Rhône-Alpes,Production_eolien,0
2014,27,Bourgogne-Franche-Comté,Production_eolien,0
2014,53,Bretagne,Production_eolien,1
2014,24,Centre-Val de Loire,Production_eolien,1
2014,44,Grand-Est,Production_eolien,3
2014,32,Hauts-de-France,Production_eolien,3
2014,11,Ile-de-France,Production_eolien,0
2014,28,Normandie,Production_eolien,1
2014,75,Nouvelle-Aquitaine,Production_eolien,0
2014,76,Occitanie,Production_eolien,2
2014,93,PACA,Production_eolien,0
2014,52,Pays-de-la-Loire,Production_eolien,1
2015,84,Auvergne-Rhône-Alpes,Production_eolien,0
2015,27,Bourgogne-Franche-Comté,Production_eolien,0
2015,53,Bretagne,Production_eolien,1
2015,24,Centre-Val de Loire,Production_eolien,1
2015,44,Grand-Est,Production_eolien,5
2015,32,Hauts-de-France,Production_eolien,4
2015,11,Ile-de-France,Production_eolien,0
2015,28,Normandie,Production_eolien,1
2015,75,Nouvelle-Aquitaine,Production_eolien,0
2015,76,Occitanie,Production_eolien,2
2015,93,PACA,Production_eolien,0
2015,52,Pays-de-la-Loire,Production_eolien,1
2016,84,Auvergne-Rhône-Alpes,Production_eolien,0
2016,27,Bourgogne-Franche-Comté,Production_eolien,0
2016,53,Bretagne,Production_eolien,1
2016,24,Centre-Val de Loire,Production_eolien,1
2016,44,Grand-Est,Production_eolien,4
2016,32,Hauts-de-France,Production_eolien,4
2016,11,Ile-de-France,Production_eolien,0
2016,28,Normandie,Production_eolien,1
2016,75,Nouvelle-Aquitaine,Production_eolien,0
2016,76,Occitanie,Production_eolien,2
2016,93,PACA,Production_eolien,0
2016,52,Pays-de-la-Loire,Production_eolien,1
2017,84,Auvergne-Rhône-Alpes,Production_eolien,1
2017,27,Bourgogne-Franche-Comté,Production_eolien,1
2017,53,Bretagne,Production_eolien,1
2017,24,Centre-Val de Loire,Production_eolien,1
2017,44,Grand-Est,Production_eolien,5
2017,32,Hauts-de-France,Production_eolien,5
2017,11,Ile-de-France,Production_eolien,0
2017,28,Normandie,Production_eolien,1
2017,75,Nouvelle-Aquitaine,Production_eolien,1
2017,76,Occitanie,Production_eolien,3
2017,93,PACA,Production_eolien,0
2017,52,Pays-de-la-Loire,Production_eolien,1
2013,84,Auvergne-Rhône-Alpes,Production_solaire,0
2013,27,Bourgogne-Franche-Comté,Production_solaire,0
2013,53,Bretagne,Production_solaire,0
